"number","title","pageid","namespace","length","touched"
"511","Truth","29920","","109381","20230729064622"
"512","Thermodynamics","29952","","46750","20230728183609"
"513","Topology","29954","","36084","20230728224758"
"514","Tea","29969","","86781","20230726100245"
"515","Theory_of_relativity","30001","","27539","20230718012455"
"516","Telephone","30003","","48792","20230718171525"
"517","Time","30012","","109609","20230808051809"
"518","Tokyo","30057","","147222","20230808064434"
"519","Tanzania","30118","","187405","20230803211834"
"520","Thailand","30128","","225796","20230808163240"
"521","Tax","30297","","122115","20230803194932"
"522","Talmud","30345","","137999","20230803155515"
"523","Taoism","30365","","194108","20230808171103"
"524","Taxonomy_(biology)","30463","","62490","20230806021243"
"525","Terrorism","30636","","145221","20230801060147"
"526","Tuberculosis","30653","","161349","20230721212345"
"527","Triangle","30654","","56235","20230719152732"
"528","Tool","30677","","41316","20230729160805"
"529","Age_of_Enlightenment","30758","","181906","20230808172756"
"530","Theravada","30994","","142796","20230804203126"
"531","United_Kingdom","31717","","303115","20230807181607"
"532","Ukraine","31750","","246959","20230805234543"
"533","United_Nations","31769","","162904","20230808113544"
"534","Universe","31880","","157411","20230728102435"
"535","Virgil","32359","","47788","20230729180209"
"536","Voltaire","32375","","144135","20230730000404"
"537","Video","32441","","34986","20230807135459"
"538","Volume","32498","","25831","20230717203805"
"539","Vacuum","32502","","68444","20230806170811"
"540","Viking_Age","32538","","120052","20230806121345"
"541","Volcano","32571","","74886","20230801154933"
"542","Vaccine","32653","","141812","20230726153349"
"543","Venus","32745","","211249","20230802232550"
"544","William_Shakespeare","32897","","115315","20230808111453"
"545","Walt_Disney","32917","","110609","20230801135101"
"546","World_War_II","32927","","257069","20230803202049"
"547","Writing","32977","","77993","20230808045642"
"548","War","33158","","107757","20230804150614"
"549","Wolfgang_Amadeus_Mozart","33163","","76658","20230806160427"
"550","Woman","33183","","98521","20230804152414"
"551","Water","33306","","164189","20230807014257"
"552","Weapon","33496","","33068","20230803134548"
"553","Wave","33516","","62513","20230804004009"
"554","Wood","33550","","88313","20230627163727"
"555","Wheel","33555","","43295","20230705102238"
"556","Weak_interaction","33629","","43467","20230807040016"
"557","Weather","33978","","45294","20230802082153"
"558","Year","34341","","52003","20230701125203"
"559","Zoology","34413","","37676","20230802105211"
"560","Zheng_He","34494","","74689","20230801043749"
"561","0","34513","","70250","20230605182309"
"562","Fishing","36581","","51879","20230808083750"
"563","Cotton","36806","","115950","20230722044346"
"564","Heart","36808","","145920","20230805010143"
"565","Wheat","36858","","128259","20230731220146"
"566","Lung","36863","","102050","20230808163014"
"567","Quran","36922","","143685","20230803145945"
"568","Bread","36969","","53757","20230717110410"
"569","Arctic","36971","","58541","20230724160405"
"570","Rice","36979","","124525","20230801095647"
"571","Philosophy_of_science","37010","","96355","20230728084416"
"572","Thought","37080","","121497","20230728115922"
"573","Infection","37220","","111627","20230717060410"
"574","Society","37235","","54211","20230728193737"
"575","Fertilizer","37401","","92515","20230716142842"
"576","Chicken","37402","","90001","20230803214945"
"577","State_of_matter","37461","","38361","20230801090619"
"578","Tornado","37530","","111928","20230731014120"
"579","Museum","37585","","84412","20230805131938"
"580","Seed","37694","","77633","20230730085900"
"581","History_of_East_Asia","37699","","88164","20230703105545"
"582","Soil","37738","","203371","20230804065534"
"583","Mountain","37754","","41619","20230604171945"
"584","Delhi","37756","","205343","20230805104740"
"585","Reformation","37857","","216920","20230808104118"
"586","Himalayas","37966","","63616","20230807092615"
"587","Gender","38076","","144956","20230808091033"
"588","Clothing","38180","","71133","20230805061625"
"589","Natural_rubber","38393","","57765","20230808181249"
"590","Humour","38407","","57336","20230731153903"
"591","Gravity","38579","","65727","20230714230520"
"592","Hunting","38791","","159292","20230715124127"
"593","Jupiter","38930","","158085","20230807165536"
"594","Business","39206","","48284","20230804120448"
"595","Compass","39316","","44903","20230730170837"
"596","Manufacturing","39388","","43536","20230731013724"
"597","Semiconductor_device","40344","","32194","20230801172804"
"598","Garden","42139","","32765","20230725115234"
"599","Reason","42446","","94635","20230806161316"
"600","Murasaki_Shikibu","42758","","58704","20230711134003"
"601","Hokusai","43357","","37880","20230723002307"
"602","Tang_dynasty","43455","","175684","20230731152550"
"603","Han_dynasty","43460","","161960","20230729132931"
"604","Fairy_tale","43494","","102251","20230807195335"
"605","Sport_of_athletics","43719","","76373","20230802082045"
"606","Catherine_the_Great","44240","","127352","20230729080628"
"607","Saturn","44474","","117359","20230807233906"
"608","Uranus","44475","","148164","20230807014842"
"609","Printing","44723","","54975","20230804205849"
"610","Dream","44785","","76106","20230725210318"
"611","Asthma","44905","","164755","20230728000454"
"612","Vasco_da_Gama","45080","","58269","20230802135939"
"613","Biodiversity","45086","","184036","20230801015522"
"614","Indigenous_peoples","45281","","165476","20230808133945"
"615","Surgery","45599","","98417","20230719233645"
"616","Violence","46112","","132208","20230808083715"
"617","Refrigeration","46238","","78461","20230711091227"
"618","Globalization","46313","","175541","20230623204858"
"619","Indus_Valley_Civilisation","46853","","178541","20230726000309"
"620","Cloud","47515","","125172","20230808191620"
"621","Standard_Model","47641","","59222","20230724123514"
"622","Free_will","47921","","202425","20230807071054"
"623","Amazon_rainforest","48139","","106002","20230730084424"
"624","Fossil_fuel","48146","","38046","20230711165638"
"625","Mathematical_analysis","48396","","51181","20230719065452"
"626","Furniture","48597","","65180","20230808023620"
"627","Extinction","49417","","103416","20230801080324"
"628","Flood","50482","","65749","20230728164418"
"629","Sumer","50521","","106173","20230723160306"
"630","Astronomy","50650","","100181","20230713011329"
"631","Space_station","50896","","49096","20230611051959"
"632","Mail","51138","","63511","20230726062213"
"633","Ancient_history","51320","","75613","20230719104242"
"634","Famine","51329","","162301","20230731191043"
"635","History_of_North_America","51370","","42998","20230804101340"
"636","History_of_South_America","51372","","105210","20230706223217"
"637","Dam","51518","","92133","20230801022455"
"638","Textile","51892","","125503","20230722041608"
"639","Pneumonia","52135","","123964","20230807121640"
"640","Brahmic_scripts","52343","","114489","20230805135912"
"641","European_colonization_of_the_Americas","52447","","96179","20230804102624"
"642","Camera","52648","","55273","20230711193157"
"643","Aztecs","53198","","170531","20230802041744"
"644","Natural_satellite","53306","","46505","20230807014640"
"645","Calligraphy","53682","","55069","20230806170900"
"646","Human_body","54176","","62699","20230804185401"
"647","Silk_Road","54253","","107810","20230717082158"
"648","Newton's_laws_of_motion","55212","","117238","20230724102942"
"649","Allergy","55313","","107702","20230803041037"
"650","Parenting","55697","","79669","20230725175711"
"651","Simón_Bolívar","55917","","107997","20230807150202"
"652","Disability","56285","","134598","20230806001236"
"653","Obesity","56435","","178747","20230729132407"
"654","Anesthesia","56561","","75469","20230807020006"
"655","Circulatory_system","57330","","52706","20230801061020"
"656","Marketing","59252","","55923","20230604032856"
"657","Dmitri_Mendeleev","60633","","48872","20230808123928"
"658","Hatshepsut","60832","","52521","20230808184740"
"659","Soybean","62784","","133700","20230802064426"
"660","Poverty","64959","","223031","20230806185410"
"661","Laozi","65119","","37782","20230729091540"
"662","Redox","66313","","35924","20230808233554"
"663","Ancient_Greece","66540","","83819","20230727140031"
"664","Hindustani_language","66715","","91276","20230806100619"
"665","Festival","67500","","31141","20230714221532"
"666","Anger","68672","","123532","20230729225449"
"667","Publishing","68761","","43766","20230727204323"
"668","United_Arab_Emirates","69328","","209679","20230808225408"
"669","Napoleon","69880","","234607","20230808151734"
"670","Suffrage","70322","","110283","20230724044112"
"671","Great_Barrier_Reef","70983","","117293","20230706071109"
"672","Green_Revolution","72727","","92559","20230806234304"
"673","Lake_Victoria","72979","","73549","20230611220618"
"674","Infant","73165","","40473","20230624074707"
"675","Ideology","75469","","47114","20230808071545"
"676","Electric_motor","76086","","119784","20230803154327"
"677","Democratic_Republic_of_the_Congo","76762","","206390","20230808234524"
"678","Spaceflight","77178","","59870","20230807184921"
"679","Health","80381","","59129","20230801114527"
"680","Oral_tradition","81724","","85733","20230706010849"
"681","Mathematical_proof","82285","","37546","20230806101708"
"682","Adolescence","83859","","180525","20230727013242"
"683","Information_Age","84632","","58162","20230804000519"
"684","Lagos","85232","","185882","20230730055043"
"685","History_of_music","87323","","119001","20230808070859"
"686","Pre-Columbian_era","90001","","85205","20230730163437"
"687","Chinese_characters","91231","","153000","20230806110206"
"688","Military","92357","","55821","20230722230840"
"689","Common_cold","92693","","59683","20230728084528"
"690","Exponentiation","99491","","106525","20230805213726"
"691","Qin_Shi_Huang","99598","","87136","20230728053328"
"692","Florence_Nightingale","100127","","123339","20230722201947"
"693","Belief","102883","","101074","20230709225118"
"694","Ritual","102920","","65728","20230808220834"
"695","Ethnicity","105004","","87765","20230808094323"
"696","Cancer","105219","","185017","20230727074255"
"697","Broadcasting","113604","","36389","20230707145912"
"698","Copper","125293","","119669","20230803114902"
"699","Malay_language","126630","","57575","20230808100732"
"700","Child","128987","","56508","20230804200345"
"701","History_of_literature","138848","","93307","20230806033253"
"702","Domestication","142586","","70501","20230704100750"
"703","Comics","145443","","78959","20230720165121"
"704","Hygiene","147020","","93620","20230808140913"
"705","Power_(social_and_political)","147885","","74404","20230808075703"
"706","Emmy_Noether","149896","","117744","20230615063917"
"707","Toy","149920","","67567","20230808115010"
"708","Eastern_philosophy","151419","","85562","20230709065824"
"709","Eye","157898","","58984","20230724150336"
"710","Mansa_Musa","159784","","45440","20230804040520"
"711","Frida_Kahlo","162276","","129384","20230720161711"
"712","Singing","162707","","56819","20230804031005"
"713","Digestion","165423","","39795","20230616041702"
"714","Adult","167334","","45490","20230707015811"
"715","Happiness","169409","","107964","20230801005957"
"716","Infrastructure","174521","","54040","20230807165557"
"717","Outer_space","177602","","127052","20230808221454"
"718","Personality","177648","","37860","20230803155903"
"719","Medication","180121","","66041","20230801103040"
"720","Learning","183403","","79927","20230729164229"
"721","Retail","183515","","70872","20230807223700"
"722","Sanitation","184729","","55337","20230808174919"
"723","Abstract_art","184854","","37091","20230719210841"
"724","Function_(mathematics)","185427","","74928","20230807222617"
"725","Adi_Shankara","186184","","126884","20230805165250"
"726","Ethiopia","187749","","283003","20230808123959"
"727","Kenya","188171","","204435","20230808114348"
"728","Exercise","189037","","86595","20230617173351"
"729","Radioactive_decay","197767","","97393","20230801162439"
"730","Drinking_water","198725","","54215","20230808173034"
"731","Grassland","198842","","52744","20230703131825"
"732","Ibn_Khaldun","199169","","68105","20230730131409"
"733","Rock_(geology)","199661","","31349","20230628090927"
"734","New_religious_movement","201588","","69204","20230717144741"
"735","Vietnam","202354","","310026","20230807041353"
"736","Atmosphere_of_Earth","202898","","60926","20230731114440"
"737","Fortification","204118","","61727","20230727234028"
"738","Subatomic_particle","212490","","32868","20230806005018"
"739","Animal_husbandry","219640","","75614","20230721031827"
"740","Bow_and_arrow","219810","","32813","20230803113520"
"741","Human_migration","221773","","68118","20230808130547"
"742","Gupta_Empire","227918","","83635","20230808214309"
"743","Old_age","229060","","109262","20230804230842"
"744","Medical_imaging","234714","","60513","20230614224743"
"745","Nth_root","235029","","31481","20230802031222"
"746","Personal_name","237504","","38615","20230723040250"
"747","Construction","239038","","56492","20230726160200"
"748","Mongol_Empire","240146","","133254","20230729041828"
"749","Knowledge","243391","","133719","20230716091429"
"750","Welfare","247817","","88610","20230805013613"
"751","Home","249429","","38810","20230801163726"
"752","Wind_power","277289","","124688","20230726091913"
"753","Scramble_for_Africa","286469","","94496","20230807162026"
"754","Decolonization","302084","","107169","20230730223251"
"755","Spanish_Empire","303062","","237600","20230807201215"
"756","Employment","314993","","56370","20230802091844"
"757","Nicolaus_Copernicus","323592","","160897","20230802124703"
"758","Cold_War","325329","","336596","20230807035412"
"759","Sahara","325363","","103838","20230808215931"
"760","Prehistoric_art","334819","","80486","20230801212631"
"761","Saudi_Arabia","349303","","329479","20230808231254"
"762","Skeletal_muscle","380541","","122677","20230719180249"
"763","São_Paulo","390875","","231632","20230808204552"
"764","Human_history","435268","","191603","20230808100922"
"765","History_of_the_Middle_East","489526","","90387","20230801195331"
"766","Cardiovascular_disease","512662","","136797","20230615190848"
"767","Injury","515534","","63651","20230727224007"
"768","Intelligence","519280","","36617","20230808144013"
"769","Ancient_Rome","521555","","178673","20230808022425"
"770","Stove","556358","","44669","20230722215325"
"771","Human_behavior","563299","","56127","20230801032728"
"772","Coffee","604727","","136317","20230804195016"
"773","Catholic_Church","606848","","256001","20230730234925"
"774","Stroke","625404","","178932","20230730230737"
"775","Neolithic_Revolution","639115","","98639","20230803172112"
"776","New_York_City","645042","","407994","20230808211821"
"777","Al-Khwarizmi","649861","","79981","20230807141738"
"778","Human","682482","","269569","20230807002551"
"779","Age_of_Discovery","690842","","222966","20230805140224"
"780","Greek_alphabet","715909","","103376","20230717230056"
"781","Ear","768413","","58712","20230715232943"
"782","Cyrus_the_Great","800012","","110655","20230806221339"
"783","History_of_technology","803661","","95967","20230728131631"
"784","Gastroenteritis","869123","","66361","20230806082529"
"785","Liberty","936385","","38693","20230629132702"
"786","Line_(geometry)","946975","","30434","20230606154909"
"787","Mental_health","990505","","97813","20230808114342"
"788","Jesus","1095706","","249098","20230803161916"
"789","Shen_Kuo","1102000","","103554","20230804071549"
"790","Early_modern_period","1291656","","150738","20230730030832"
"791","Internal_structure_of_Earth","1417149","","30503","20230806090526"
"792","Word","1449866","","31190","20230801201115"
"793","Chinese_folk_religion","1491156","","190272","20230806192728"
"794","Vedas","1527181","","114586","20230727184244"
"795","Salt","1605200","","71466","20230710163352"
"796","Fraction","1704824","","65574","20230721094151"
"797","Pregnancy","1771587","","146903","20230806121320"
"798","Environmentalism","1866009","","78142","20230728053519"
"799","History_of_Earth","2068726","","153590","20230807014958"
"800","Pig","2391490","","76561","20230807020952"
"801","Milky_Way","2589714","","220164","20230806195816"
"802","Adolf_Hitler","2731583","","173285","20230808171503"
"803","History_of_agriculture","2899597","","122237","20230719114403"
"804","Speech","2917649","","30823","20230806141156"
"805","Three-dimensional_space","3054853","","33008","20230627053851"
"806","Buddhism","3267529","","264903","20230724205906"
"807","Istanbul","3391396","","225380","20230805204113"
"808","United_States","3434750","","313451","20230808201449"
"809","Malaysia","3607937","","199655","20230808173230"
"810","History_of_architecture","3684625","","164056","20230801032058"
"811","Variable_(mathematics)","3728109","","21952","20230807020007"
"812","Mexico","3966054","","254513","20230808204130"
"813","Gene","4250553","","117872","20230802031235"
"814","Rembrandt","4254144","","140199","20230807200337"
"815","Dog","4269567","","113670","20230808150432"
"816","Crusades","4412145","","142230","20230804215835"
"817","Flower","4576465","","103050","20230807154430"
"818","Traditional_African_religions","4655918","","44544","20230714070017"
"819","Australia","4689264","","218566","20230808201041"
"820","Fish","4699587","","121226","20230803122521"
"821","World_War_I","4764461","","311349","20230807152438"
"822","God","5042765","","89185","20230802165615"
"823","Canada","5042916","","261832","20230808165458"
"824","Climate_change","5042951","","291088","20230807145418"
"825","Rabindranath_Tagore","5052533","","112295","20230808081916"
"826","HIV/AIDS","5069516","","202592","20230806164223"
"827","Great_Wall_of_China","5094570","","57995","20230726151149"
"828","Mesoamerica","5301493","","92104","20230802134340"
"829","Africa","5334607","","179080","20230804191901"
"830","Vegetable","5791492","","41800","20230804102547"
"831","France","5843419","","270663","20230808212651"
"832","Islam","6037917","","220369","20230807074139"
"833","Economy","6639133","","34002","20230709112852"
"834","Classical_music","6668778","","97966","20230808011508"
"835","Latin_script","6683766","","44735","20230805144501"
"836","Arabic_script","6685329","","119053","20230729191841"
"837","Telescope","7070301","","40095","20230702075610"
"838","Martin_Luther","7567080","","154155","20230804162900"
"839","Computer","7878457","","138323","20230808153209"
"840","Egypt","8087628","","240916","20230808225215"
"841","Charles_Darwin","8145410","","159758","20230730001456"
"842","Tropical_cyclone","8282374","","216725","20230731224448"
"843","English_language","8569916","","231710","20230806212411"
"844","Money","8983183","","54581","20230603183027"
"845","Bacteria","9028799","","145648","20230725201651"
"846","Biology","9127632","","133332","20230804133036"
"847","Communism","9209651","","273751","20230808044105"
"848","Israel","9282173","","391149","20230808225227"
"849","Drug","9311172","","32108","20230524205502"
"850","Johann_Sebastian_Bach","9906294","","163811","20230805181628"
"851","Family","10401954","","136571","20230721122930"
"852","Contemporary_history","10689543","","73212","20230725114525"
"853","History","10772350","","84094","20230723210436"
"854","Animal","11039790","","125329","20230806191742"
"855","Turkey","11125639","","335145","20230808130055"
"856","Cheese","11749910","","67737","20230808210001"
"857","Smoking","12254052","","94305","20230720091516"
"858","Post-classical_history","13139823","","166216","20230722170110"
"859","Car","13673345","","96520","20230804171120"
"860","Philosophy","13692155","","155872","20230803183513"
"861","Western_philosophy","13704154","","95361","20230624043930"
"862","Mars","14640471","","181153","20230808232406"
"863","Early_human_migrations","14821485","","110039","20230619173633"
"864","Michael_Jackson","14995351","","267896","20230804060818"
"865","Human_sexuality","15179951","","149180","20230803075933"
"866","Atheism","15247542","","208186","20230719140427"
"867","Radio","15368428","","143596","20230808184232"
"868","Wind","15440316","","106201","20230802145505"
"869","Man","15822899","","55657","20230807000515"
"870","Ageing","16413778","","90375","20230805140919"
"871","Smallpox","16829895","","156548","20230808183805"
"872","Suicide","16831059","","163859","20230807092458"
"873","Paper","16861908","","42551","20230721160222"
"874","Byzantine_Empire","16972981","","246322","20230808065046"
"875","Friendship","17157119","","43100","20230804221244"
"876","Sheep","17158563","","111504","20230806171059"
"877","Liver","17384301","","84796","20230723182211"
"878","Genghis_Khan","17414699","","98367","20230803202459"
"879","South_Africa","17416221","","223327","20230807050535"
"880","Play_(activity)","18006808","","63709","20230620190008"
"881","Nursing","18403271","","110593","20230808110559"
"882","Maya_civilization","18449273","","188018","20230807052124"
"883","Transport","18580879","","55020","20230706081519"
"884","Beijing","18603746","","227522","20230806155322"
"885","Leo_Tolstoy","18622119","","84014","20230801151452"
"886","Painting","18622193","","79438","20230808193220"
"887","Algebra","18716923","","48738","20230728004956"
"888","Trigonometry","18717261","","51739","20230702130845"
"889","Sociology","18717981","","158488","20230807140636"
"890","Game","18723138","","42394","20230802175250"
"891","Sea","18842323","","180517","20230730005307"
"892","River","18842395","","39374","20230716072148"
"893","Lake","18842431","","81382","20230805040745"
"894","Cryptography","18934432","","100500","20230808062255"
"895","Akbar","18945005","","146003","20230806180002"
"896","Alcoholic_beverage","18948043","","50975","20230807104324"
"897","Fiction","18949461","","33952","20230807151316"
"898","Law","18949668","","165325","20230804124446"
"899","Arctic_Ocean","18951556","","65908","20230726184628"
"900","Archaeology","18951655","","131860","20230722212715"
"901","Argentina","18951905","","239962","20230806232305"
"902","Tree","18955875","","125152","20230728015830"
"903","Desert","18955999","","112153","20230713004400"
"904","Caribbean","18956035","","104521","20230801091437"
"905","Antarctica","18959138","","136118","20230720173619"
"906","Literature","18963870","","89701","20230801110553"
"907","Geography","18963910","","87655","20230727214205"
"908","English_literature","18973384","","142693","20230729220206"
"909","Geometry","18973446","","100376","20230724001821"
"910","Birth_control","18978770","","150016","20230721233031"
"911","History_of_art","18985263","","231523","20230728073834"
"912","Popular_culture","18993927","","48402","20230717202756"
"913","Prehistory","18994022","","51921","20230703132303"
"914","Sound","18994087","","37157","20230805101747"
"915","Hospital","18994221","","56105","20230731210436"
"916","Neptune","19003265","","125849","20230807184855"
"917","Conic_section","19008673","","70572","20230731101235"
"918","Rain","19009110","","119884","20230728013545"
"919","Sexually_transmitted_infection","19019270","","85169","20230509181319"
"920","Culture","19159508","","70923","20230720113840"
"921","Virus","19167679","","153772","20230710143920"
"922","Electric_battery","19174720","","68733","20230806191151"
"923","Fungus","19178965","","202068","20230804185429"
"924","Archaea","19179592","","157606","20230807060508"
"925","Abiogenesis","19179706","","178554","20230808114206"
"926","Liberalism","19280734","","139300","20230808082628"
"927","Great_Depression","19283335","","179290","20230727223314"
"928","Rodent","19337310","","141438","20230802224604"
"929","Bank","19360669","","65794","20230801010628"
"930","Classical_mechanics","19555586","","47123","20230728120949"
"931","Influenza","19572217","","103780","20230731172150"
"932","Heat","19593167","","79395","20230708225702"
"933","Abstract_algebra","19616384","","32642","20230805183057"
"934","Continent","19630739","","73242","20230804151244"
"935","Mobile_phone","19644137","","81763","20230730023436"
"936","Caspian_Sea","19653787","","86173","20230804182118"
"937","Organism","19653842","","33889","20230716103303"
"938","Matter","19673093","","83008","20230731012124"
"939","University","19725260","","73893","20230804023215"
"940","Mollusca","19773328","","90492","20230808004138"
"941","Arthropod","19827221","","127496","20230802135012"
"942","Plant","19828134","","93131","20230808202257"
"943","Ferdinand_Magellan","19914843","","50288","20230719105233"
"944","Infinity","20110824","","53695","20230808190512"
"945","Southern_Ocean","20611428","","115391","20230724013512"
"946","Real_number","20646438","","57710","20230808055031"
"947","Temperature","20647050","","106121","20230806181127"
"948","Earth_science","20653168","","27576","20230706053729"
"949","Maize","20656228","","139711","20230807133201"
"950","News","20781999","","155149","20230808200524"
"951","Robotics","20903754","","146730","20230808152856"
"952","Theatre","20913771","","87501","20230714195247"
"953","Realism_(arts)","21244047","","41644","20230614135421"
"954","Architecture","21296224","","58254","20230714063949"
"955","Chemical_compound","21347411","","19526","20230109135542"
"956","Bengali_language","21378419","","99501","20230727064027"
"957","Ramesses_II","21476519","","69782","20230729032026"
"958","Thomas_Aquinas","21490957","","148033","20230808225513"
"959","Nelson_Mandela","21492751","","203150","20230804192451"
"960","Film","21555729","","81139","20230808053520"
"961","Species","21780446","","97437","20230804184042"
"962","Linguistics","22760983","","88787","20230807121602"
"963","Bhagavad_Gita","23277715","","217190","20230808183709"
"964","Insect","23366462","","157134","20230804011340"
"965","Sense","23416874","","94001","20230714134754"
"966","Greek_mythology","23416994","","108023","20230720181740"
"967","Novel","23713433","","93052","20230806164253"
"968","Late_modern_period","23801631","","143557","20230719162211"
"969","Mughal_Empire","24217897","","156003","20230731154322"
"970","Eukaryote","24536543","","61740","20230808204944"
"971","Myth","24698694","","72726","20230712230806"
"972","Season","24873453","","59889","20230805175804"
"973","Military_history","25595604","","88689","20230704223520"
"974","Socrates","25664190","","89890","20230806134031"
"975","Sport","25778403","","64428","20230702145444"
"976","Protestantism","25814008","","245143","20230725195355"
"977","Cattle","26051975","","161043","20230807035101"
"978","Plastic","26145195","","92521","20230718073156"
"979","Limit_(mathematics)","26551602","","36088","20230614162627"
"980","Andean_civilizations","26980756","","34633","20230731093204"
"981","Addiction","27158894","","262750","20230807050711"
"982","Musical_instrument","27406894","","71414","20230728123253"
"983","Mahayana","27937488","","145750","20230727194913"
"984","Diplomacy","28165911","","60581","20230723211041"
"985","James_Clerk_Maxwell","28989696","","83205","20230807173117"
"986","The_arts","29560452","","48649","20230803094104"
"987","Galileo_Galilei","29688374","","135710","20230731230443"
"988","Achaemenid_Empire","30927438","","176540","20230807113857"
"989","Memory","31217535","","129044","20230806092852"
"990","Telecommunications","33094374","","89983","20230728163205"
"991","Visual_arts","33734529","","36867","20230724073028"
"992","Phoenicia","34076091","","91269","20230724031152"
"993","Islamic_Golden_Age","37477763","","120812","20230716224847"
"994","Diabetes","40017873","","113882","20230730094744"
"995","Land","40083369","","142006","20230806130114"
"996","Crustacean","40119056","","53875","20230808144103"
"997","Social_equality","41207422","","28081","20230728220155"
"998","Internal_combustion_engine","41228673","","100302","20230807065630"
"999","Deity","45087159","","135732","20230807163322"
"1000","Logic","46426065","","158684","20230807113616"
"1001","Good_and_evil","53403353","","71211","20230725023157"